STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2004,0.683942,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2005,0.494923,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2006,2.40654,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2007,2.318459,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2008,-59.69819,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2009,-11.000513,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2010,-0.535745,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2011,0.066834,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,-0.11378,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2014,-2.919948,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2016,-0.581864,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,5.435573,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,-0.049488,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,-0.367595,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,FAO_FDI_23080,"FDI inflows to Agriculture, Forestry and Fishing",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_K_2015,"US dollars, 2015 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,0.169711,FAO_FDI,Foreign Direct Investment (FDI),6,Millions,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
